[Wed Jun 01 14:43:23.850153 2016] [:error] [pid 24667] [client 127.0.0.1:52346] PHP   1. {main}() /home/serg/site/kerama_gold/wp-admin/post.php:0, referer: http://kerama_gold.tes/wp-admin/post.php?post=27&action=edit
[Wed Jun 01 14:43:23.850162 2016] [:error] [pid 24667] [client 127.0.0.1:52346] PHP   2. edit_post() /home/serg/site/kerama_gold/wp-admin/post.php:193, referer: http://kerama_gold.tes/wp-admin/post.php?post=27&action=edit
[Wed Jun 01 14:43:23.850170 2016] [:error] [pid 24667] [client 127.0.0.1:52346] PHP   3. wp_update_post() /home/serg/site/kerama_gold/wp-admin/includes/post.php:369, referer: http://kerama_gold.tes/wp-admin/post.php?post=27&action=edit
[Wed Jun 01 14:43:23.850178 2016] [:error] [pid 24667] [client 127.0.0.1:52346] PHP   4. wp_insert_post() /home/serg/site/kerama_gold/wp-includes/post.php:3602, referer: http://kerama_gold.tes/wp-admin/post.php?post=27&action=edit
[Wed Jun 01 14:43:23.850188 2016] [:error] [pid 24667] [client 127.0.0.1:52346] PHP   5. do_action() /home/serg/site/kerama_gold/wp-includes/post.php:3529, referer: http://kerama_gold.tes/wp-admin/post.php?post=27&action=edit
[Wed Jun 01 14:43:23.850195 2016] [:error] [pid 24667] [client 127.0.0.1:52346] PHP   6. call_user_func_array:{/home/serg/site/kerama_gold/wp-includes/plugin.php:525}() /home/serg/site/kerama_gold/wp-includes/plugin.php:525, referer: http://kerama_gold.tes/wp-admin/post.php?post=27&action=edit
[Wed Jun 01 14:43:23.850212 2016] [:error] [pid 24667] [client 127.0.0.1:52346] PHP   7. pp_gallery_upload() /home/serg/site/kerama_gold/wp-includes/plugin.php:525, referer: http://kerama_gold.tes/wp-admin/post.php?post=27&action=edit
[Wed Jun 01 14:44:46.388706 2016] [:error] [pid 24805] [client 127.0.0.1:52356] PHP Warning:  Invalid argument supplied for foreach() in /home/serg/site/kerama_gold/wp-content/plugins/pp-gallery/index.php on line 136, referer: http://kerama_gold.tes/wp-admin/post.php?post=27&action=edit
[Wed Jun 01 14:44:46.388737 2016] [:error] [pid 24805] [client 127.0.0.1:52356] PHP Stack trace:, referer: http://kerama_gold.tes/wp-admin/post.php?post=27&action=edit
[Wed Jun 01 14:44:46.388745 2016] [:error] [pid 24805] [client 127.0.0.1:52356] PHP   1. {main}() /home/serg/site/kerama_gold/wp-admin/post.php:0, referer: http://kerama_gold.tes/wp-admin/post.php?post=27&action=edit
[Wed Jun 01 14:44:46.388761 2016] [:error] [pid 24805] [client 127.0.0.1:52356] PHP   2. edit_post() /home/serg/site/kerama_gold/wp-admin/post.php:193, referer: http://kerama_gold.tes/wp-admin/post.php?post=27&action=edit
[Wed Jun 01 14:44:46.388766 2016] [:error] [pid 24805] [client 127.0.0.1:52356] PHP   3. wp_update_post() /home/serg/site/kerama_gold/wp-admin/includes/post.php:369, referer: http://kerama_gold.tes/wp-admin/post.php?post=27&action=edit
[Wed Jun 01 14:44:46.388771 2016] [:error] [pid 24805] [client 127.0.0.1:52356] PHP   4. wp_insert_post() /home/serg/site/kerama_gold/wp-includes/post.php:3602, referer: http://kerama_gold.tes/wp-admin/post.php?post=27&action=edit
[Wed Jun 01 14:44:46.388776 2016] [:error] [pid 24805] [client 127.0.0.1:52356] PHP   5. do_action() /home/serg/site/kerama_gold/wp-includes/post.php:3529, referer: http://kerama_gold.tes/wp-admin/post.php?post=27&action=edit
[Wed Jun 01 14:44:46.388782 2016] [:error] [pid 24805] [client 127.0.0.1:52356] PHP   6. call_user_func_array:{/home/serg/site/kerama_gold/wp-includes/plugin.php:525}() /home/serg/site/kerama_gold/wp-includes/plugin.php:525, referer: http://kerama_gold.tes/wp-admin/post.php?post=27&action=edit
[Wed Jun 01 14:44:46.388789 2016] [:error] [pid 24805] [client 127.0.0.1:52356] PHP   7. pp_gallery_upload() /home/serg/site/kerama_gold/wp-includes/plugin.php:525, referer: http://kerama_gold.tes/wp-admin/post.php?post=27&action=edit
[Wed Jun 01 14:47:05.435657 2016] [:error] [pid 24799] [client 127.0.0.1:52363] PHP Warning:  Invalid argument supplied for foreach() in /home/serg/site/kerama_gold/wp-content/plugins/pp-gallery/index.php on line 136, referer: http://kerama_gold.tes/wp-admin/post.php?post=27&action=edit
[Wed Jun 01 14:47:05.435688 2016] [:error] [pid 24799] [client 127.0.0.1:52363] PHP Stack trace:, referer: http://kerama_gold.tes/wp-admin/post.php?post=27&action=edit
[Wed Jun 01 14:47:05.435707 2016] [:error] [pid 24799] [client 127.0.0.1:52363] PHP   1. {main}() /home/serg/site/kerama_gold/wp-admin/post.php:0, referer: http://kerama_gold.tes/wp-admin/post.php?post=27&action=edit
[Wed Jun 01 14:47:05.435713 2016] [:error] [pid 24799] [client 127.0.0.1:52363] PHP   2. edit_post() /home/serg/site/kerama_gold/wp-admin/post.php:193, referer: http://kerama_gold.tes/wp-admin/post.php?post=27&action=edit
[Wed Jun 01 14:47:05.435718 2016] [:error] [pid 24799] [client 127.0.0.1:52363] PHP   3. wp_update_post() /home/serg/site/kerama_gold/wp-admin/includes/post.php:369, referer: http://kerama_gold.tes/wp-admin/post.php?post=27&action=edit
[Wed Jun 01 14:47:05.435724 2016] [:error] [pid 24799] [client 127.0.0.1:52363] PHP   4. wp_insert_post() /home/serg/site/kerama_gold/wp-includes/post.php:3602, referer: http://kerama_gold.tes/wp-admin/post.php?post=27&action=edit
[Wed Jun 01 14:47:05.435732 2016] [:error] [pid 24799] [client 127.0.0.1:52363] PHP   5. do_action() /home/serg/site/kerama_gold/wp-includes/post.php:3529, referer: http://kerama_gold.tes/wp-admin/post.php?post=27&action=edit
[Wed Jun 01 14:47:05.435747 2016] [:error] [pid 24799] [client 127.0.0.1:52363] PHP   6. call_user_func_array:{/home/serg/site/kerama_gold/wp-includes/plugin.php:525}() /home/serg/site/kerama_gold/wp-includes/plugin.php:525, referer: http://kerama_gold.tes/wp-admin/post.php?post=27&action=edit
[Wed Jun 01 14:47:05.435764 2016] [:error] [pid 24799] [client 127.0.0.1:52363] PHP   7. pp_gallery_upload() /home/serg/site/kerama_gold/wp-includes/plugin.php:525, referer: http://kerama_gold.tes/wp-admin/post.php?post=27&action=edit
[Wed Jun 01 14:49:33.040475 2016] [:error] [pid 23935] [client 127.0.0.1:52377] PHP Warning:  Invalid argument supplied for foreach() in /home/serg/site/kerama_gold/wp-content/plugins/pp-gallery/index.php on line 136, referer: http://kerama_gold.tes/wp-admin/post.php?post=27&action=edit
[Wed Jun 01 14:49:33.040505 2016] [:error] [pid 23935] [client 127.0.0.1:52377] PHP Stack trace:, referer: http://kerama_gold.tes/wp-admin/post.php?post=27&action=edit
[Wed Jun 01 14:49:33.040516 2016] [:error] [pid 23935] [client 127.0.0.1:52377] PHP   1. {main}() /home/serg/site/kerama_gold/wp-admin/post.php:0, referer: http://kerama_gold.tes/wp-admin/post.php?post=27&action=edit
[Wed Jun 01 14:49:33.040524 2016] [:error] [pid 23935] [client 127.0.0.1:52377] PHP   2. edit_post() /home/serg/site/kerama_gold/wp-admin/post.php:193, referer: http://kerama_gold.tes/wp-admin/post.php?post=27&action=edit
[Wed Jun 01 14:49:33.040533 2016] [:error] [pid 23935] [client 127.0.0.1:52377] PHP   3. wp_update_post() /home/serg/site/kerama_gold/wp-admin/includes/post.php:369, referer: http://kerama_gold.tes/wp-admin/post.php?post=27&action=edit
[Wed Jun 01 14:49:33.040540 2016] [:error] [pid 23935] [client 127.0.0.1:52377] PHP   4. wp_insert_post() /home/serg/site/kerama_gold/wp-includes/post.php:3602, referer: http://kerama_gold.tes/wp-admin/post.php?post=27&action=edit
[Wed Jun 01 14:49:33.040547 2016] [:error] [pid 23935] [client 127.0.0.1:52377] PHP   5. do_action() /home/serg/site/kerama_gold/wp-includes/post.php:3529, referer: http://kerama_gold.tes/wp-admin/post.php?post=27&action=edit
[Wed Jun 01 14:49:33.040555 2016] [:error] [pid 23935] [client 127.0.0.1:52377] PHP   6. call_user_func_array:{/home/serg/site/kerama_gold/wp-includes/plugin.php:525}() /home/serg/site/kerama_gold/wp-includes/plugin.php:525, referer: http://kerama_gold.tes/wp-admin/post.php?post=27&action=edit
[Wed Jun 01 14:49:33.040563 2016] [:error] [pid 23935] [client 127.0.0.1:52377] PHP   7. pp_gallery_upload() /home/serg/site/kerama_gold/wp-includes/plugin.php:525, referer: http://kerama_gold.tes/wp-admin/post.php?post=27&action=edit
[Wed Jun 01 14:55:28.167987 2016] [:error] [pid 24805] [client 127.0.0.1:52410] PHP Warning:  Invalid argument supplied for foreach() in /home/serg/site/kerama_gold/wp-content/plugins/pp-gallery/index.php on line 136, referer: http://kerama_gold.tes/wp-admin/nav-menus.php?menu=2
[Wed Jun 01 14:55:28.168020 2016] [:error] [pid 24805] [client 127.0.0.1:52410] PHP Stack trace:, referer: http://kerama_gold.tes/wp-admin/nav-menus.php?menu=2
[Wed Jun 01 14:55:28.168031 2016] [:error] [pid 24805] [client 127.0.0.1:52410] PHP   1. {main}() /home/serg/site/kerama_gold/wp-admin/nav-menus.php:0, referer: http://kerama_gold.tes/wp-admin/nav-menus.php?menu=2
[Wed Jun 01 14:55:28.168039 2016] [:error] [pid 24805] [client 127.0.0.1:52410] PHP   2. wp_nav_menu_update_menu_items() /home/serg/site/kerama_gold/wp-admin/nav-menus.php:386, referer: http://kerama_gold.tes/wp-admin/nav-menus.php?menu=2
[Wed Jun 01 14:55:28.168049 2016] [:error] [pid 24805] [client 127.0.0.1:52410] PHP   3. wp_update_nav_menu_item() /home/serg/site/kerama_gold/wp-admin/includes/nav-menu.php:1010, referer: http://kerama_gold.tes/wp-admin/nav-menus.php?menu=2
[Wed Jun 01 14:55:28.168055 2016] [:error] [pid 24805] [client 127.0.0.1:52410] PHP   4. wp_update_post() /home/serg/site/kerama_gold/wp-includes/nav-menu.php:511, referer: http://kerama_gold.tes/wp-admin/nav-menus.php?menu=2
[Wed Jun 01 14:55:28.168060 2016] [:error] [pid 24805] [client 127.0.0.1:52410] PHP   5. wp_insert_post() /home/serg/site/kerama_gold/wp-includes/post.php:3602, referer: http://kerama_gold.tes/wp-admin/nav-menus.php?menu=2
[Wed Jun 01 14:55:28.168072 2016] [:error] [pid 24805] [client 127.0.0.1:52410] PHP   6. do_action() /home/serg/site/kerama_gold/wp-includes/post.php:3529, referer: http://kerama_gold.tes/wp-admin/nav-menus.php?menu=2
[Wed Jun 01 14:55:28.168077 2016] [:error] [pid 24805] [client 127.0.0.1:52410] PHP   7. call_user_func_array:{/home/serg/site/kerama_gold/wp-includes/plugin.php:525}() /home/serg/site/kerama_gold/wp-includes/plugin.php:525, referer: http://kerama_gold.tes/wp-admin/nav-menus.php?menu=2
[Wed Jun 01 14:55:28.168082 2016] [:error] [pid 24805] [client 127.0.0.1:52410] PHP   8. pp_gallery_upload() /home/serg/site/kerama_gold/wp-includes/plugin.php:525, referer: http://kerama_gold.tes/wp-admin/nav-menus.php?menu=2
